epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,epoch_train_time_s,epoch_val_time_s
1,7.91765637371338e-07,1.6326503844272495,0.39728696555819476,1.0724493023554484,0.611,0.5909281635071417,5.431696743999964,0.22673203399972408
2,0.0003341250989707047,0.8791271779429601,0.675270932304038,0.7607486694653829,0.7288333333333333,0.7222875791367536,3.0538558429998375,0.17043826000008266
3,0.0006674584323040381,0.7723325217704592,0.7078384798099763,0.6130318401654561,0.7683333333333333,0.7611343539968596,3.0927091379999183,0.17172220200063748
4,0.001,0.7003724330111524,0.7359709026128266,0.5947929457028707,0.7708333333333334,0.7579427262182097,3.1472347219996664,0.17056635100016138
5,0.0009982167568285507,0.650041276655401,0.7559011282660333,0.5146406471729279,0.8151666666666667,0.8114695788420601,3.087319125999784,0.18414652199953707
6,0.0009928798756221157,0.6080709571226759,0.7707467339667459,0.4823026549021403,0.8235,0.8216154320056465,3.028071523000108,0.17026466200059076
7,0.000984027808732082,0.579173135007079,0.7828087885985748,0.47981508159637454,0.8168333333333333,0.813344875833715,3.1797181510000883,0.1716943130004438
8,0.0009717243355032367,0.5560206843809957,0.7905656175771971,0.4606501367886861,0.8251666666666667,0.8220001941280894,3.142442005999328,0.17453519799983042
9,0.0009560581027421273,0.5369665915071257,0.7998812351543944,0.4449796527226766,0.834,0.8273387424935205,3.256335809999655,0.18788831300025777
10,0.0009371419860147882,0.5186587676866038,0.8044833729216152,0.4515419462521871,0.8355,0.8327541149547656,3.2564519549996476,0.18513957100003609
11,0.0009151122763757019,0.5094092351665406,0.809438093824228,0.4175033854643504,0.8461666666666666,0.8419393554714525,3.2639330759993754,0.1866269080001075
12,0.0008901276983876276,0.4977817601942393,0.8118319477434679,0.43173812596003214,0.839,0.8359188405720968,3.2112374700000146,0.20526969599995937
13,0.0008623682665074895,0.48167413105024576,0.8210733372921615,0.40776042222976683,0.8483333333333334,0.8409369154570804,3.265940676000355,0.18396649599981174
14,0.0008320339880780903,0.4723110358250679,0.8219084026128266,0.39541497707366946,0.8568333333333333,0.8521425855485321,3.2227953689998685,0.1881769900001018
15,0.000799343422270622,0.46392206879522907,0.8269002375296912,0.4025502065817515,0.8463333333333334,0.8459970810948766,3.266375178999624,0.17301372099973378
16,0.0007645321053608297,0.45601857494288556,0.8288487232779097,0.37940883421897886,0.8616666666666667,0.8601786277219915,3.2012817329996324,0.1726623880003899
17,0.0007278508536847483,0.44592946817359563,0.8322817695961995,0.37898426230748494,0.8611666666666666,0.858755651608749,3.242578547999983,0.17212687200026267
18,0.0006895639565012528,0.43763647198393907,0.8342302553444181,0.3812414220968882,0.8565,0.8572069516126077,3.164465197000027,0.1727843530006794
19,0.0006499472717818924,0.43060894993591764,0.8372364904988123,0.3627401019732157,0.8655,0.8642917353575607,3.058206209999298,0.20879148800031544
20,0.0006092862386478846,0.42512029016527597,0.8406324228028503,0.3573221048514048,0.8671666666666666,0.8651701245430632,3.259222464999766,0.18601689299975988
21,0.0005678738207747049,0.4132792744387357,0.8427108076009501,0.3551924733320872,0.8701666666666666,0.8677749465638825,3.737501994000013,0.20349999099926208
22,0.0005260083955820935,0.4092626282834667,0.8464407660332541,0.3498296654224396,0.8698333333333333,0.8697607967768528,3.686587649000103,0.2203052069999103
23,0.00048399160441790675,0.40099941109110226,0.8501150534441805,0.3366068022251129,0.8736666666666667,0.873331285485601,3.7306354260008447,0.21030879099998856
24,0.000442126179225295,0.39406301233377705,0.8507459916864608,0.337631724913915,0.8755,0.874986724184214,3.658692437999889,0.2122802200001388
25,0.0004007137613521156,0.39099486678343204,0.853752226840855,0.3376426788965861,0.8773333333333333,0.8752742492561362,3.596646676999626,0.21821298000031675
26,0.0003600527282181076,0.382336387583309,0.8561831947743468,0.3294430385430654,0.8803333333333333,0.8780924146548713,3.3992779569998675,0.19373852100034128
27,0.00032043604349874725,0.3737832559117795,0.8600059382422803,0.31900375699996947,0.885,0.8843273743328897,3.4953491360001863,0.19935058500050218
28,0.0002821491463152517,0.369003608221113,0.8606739904988123,0.32166151563326517,0.8803333333333333,0.879407526876815,3.3888740929996857,0.20564502199977142
29,0.0002454678946391704,0.36525882791170317,0.8618245249406176,0.31822421979904175,0.882,0.8818216279477165,3.522115713999483,0.2015716149999207
30,0.00021065657772937816,0.3595260982346365,0.8650534441805225,0.31938261675834656,0.8823333333333333,0.8807358758028648,3.3589673119995496,0.19104609999976674
31,0.00017796601192190977,0.35623208962540165,0.8658142814726841,0.3152571143309275,0.8788333333333334,0.8793512457382399,3.3804265840008156,0.20254383899919048
32,0.00014763173349251042,0.348658316704553,0.8694328978622328,0.30716936993598937,0.887,0.8856744133477881,3.3452750339993145,0.19778738199966028
33,0.00011987230161237255,0.3457845147177046,0.868393705463183,0.30052471613883974,0.8895,0.8885819641970922,3.4710861539997495,0.19446261700068135
34,9.488772362429817e-05,0.34156048432381875,0.8724391330166271,0.3024096571604411,0.8895,0.8886076620888945,3.474557417000142,0.19011886999942362
35,7.285801398521186e-05,0.3381294393624376,0.872958729216152,0.301305077791214,0.8886666666666667,0.8877104755871535,3.3057718359996215,0.19170807200043782
36,5.394189725787278e-05,0.33761068944976336,0.8736267814726841,0.29702072707811994,0.8901666666666667,0.8890681402598378,3.434297625999534,0.19025513599990518
