2026-09-22 21:08:46 | INFO | Run cifar10-lstm-s123-20260922-210845 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 21:08:46 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 21:08:46 | INFO | Dataset cifar10 | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/cifar10_split42_val0.1.json | train/val/test = 45000/5000/10000 | fingerprints {'train': 'b99301bfd9655f1c', 'val': '280540fcdfde8a41'}
2026-09-22 21:08:46 | INFO | Model lstm | trainable parameters: 891,402
2026-09-22 21:08:51 | INFO | epoch   1 | lr 2.85e-06 | train loss 1.9682 acc 0.2649 | val loss 1.6738 acc 0.3820 macroF1 0.3691 | 4.1s  *best*
2026-09-22 21:08:52 | INFO | epoch   2 | lr 1.00e-03 | train loss 1.6299 acc 0.3984 | val loss 1.5084 acc 0.4456 macroF1 0.4359 | 1.7s  *best*
2026-09-22 21:08:54 | INFO | epoch   3 | lr 9.99e-04 | train loss 1.4818 acc 0.4606 | val loss 1.4045 acc 0.5032 macroF1 0.4904 | 1.6s  *best*
2026-09-22 21:08:56 | INFO | epoch   4 | lr 9.97e-04 | train loss 1.3809 acc 0.4989 | val loss 1.3119 acc 0.5300 macroF1 0.5216 | 1.7s  *best*
2026-09-22 21:08:58 | INFO | epoch   5 | lr 9.94e-04 | train loss 1.2997 acc 0.5312 | val loss 1.2599 acc 0.5468 macroF1 0.5418 | 1.6s  *best*
2026-09-22 21:08:59 | INFO | epoch   6 | lr 9.89e-04 | train loss 1.2354 acc 0.5532 | val loss 1.1999 acc 0.5700 macroF1 0.5673 | 1.6s  *best*
2026-09-22 21:09:01 | INFO | epoch   7 | lr 9.83e-04 | train loss 1.1821 acc 0.5753 | val loss 1.1529 acc 0.5888 macroF1 0.5857 | 1.7s  *best*
2026-09-22 21:09:03 | INFO | epoch   8 | lr 9.75e-04 | train loss 1.1339 acc 0.5942 | val loss 1.1296 acc 0.5964 macroF1 0.5959 | 1.6s  *best*
2026-09-22 21:09:04 | INFO | epoch   9 | lr 9.66e-04 | train loss 1.0904 acc 0.6090 | val loss 1.0918 acc 0.6066 macroF1 0.6041 | 1.6s  *best*
2026-09-22 21:09:06 | INFO | epoch  10 | lr 9.56e-04 | train loss 1.0480 acc 0.6248 | val loss 1.0922 acc 0.6144 macroF1 0.6146 | 1.6s  *best*
2026-09-22 21:09:08 | INFO | epoch  11 | lr 9.44e-04 | train loss 1.0149 acc 0.6370 | val loss 1.0635 acc 0.6152 macroF1 0.6142 | 1.6s
2026-09-22 21:09:10 | INFO | epoch  12 | lr 9.31e-04 | train loss 0.9790 acc 0.6509 | val loss 1.0434 acc 0.6258 macroF1 0.6258 | 1.6s  *best*
2026-09-22 21:09:11 | INFO | epoch  13 | lr 9.17e-04 | train loss 0.9532 acc 0.6625 | val loss 1.0186 acc 0.6354 macroF1 0.6345 | 1.7s  *best*
2026-09-22 21:09:13 | INFO | epoch  14 | lr 9.02e-04 | train loss 0.9172 acc 0.6735 | val loss 1.0013 acc 0.6488 macroF1 0.6474 | 1.7s  *best*
2026-09-22 21:09:15 | INFO | epoch  15 | lr 8.86e-04 | train loss 0.8867 acc 0.6834 | val loss 0.9961 acc 0.6530 macroF1 0.6517 | 1.7s  *best*
2026-09-22 21:09:17 | INFO | epoch  16 | lr 8.69e-04 | train loss 0.8666 acc 0.6933 | val loss 0.9826 acc 0.6548 macroF1 0.6532 | 1.7s  *best*
2026-09-22 21:09:19 | INFO | epoch  17 | lr 8.50e-04 | train loss 0.8400 acc 0.7029 | val loss 0.9782 acc 0.6550 macroF1 0.6551 | 1.7s  *best*
2026-09-22 21:09:20 | INFO | epoch  18 | lr 8.31e-04 | train loss 0.8147 acc 0.7107 | val loss 0.9907 acc 0.6512 macroF1 0.6531 | 1.7s
2026-09-22 21:09:22 | INFO | epoch  19 | lr 8.11e-04 | train loss 0.7910 acc 0.7196 | val loss 0.9808 acc 0.6612 macroF1 0.6596 | 1.6s  *best*
2026-09-22 21:09:24 | INFO | epoch  20 | lr 7.90e-04 | train loss 0.7649 acc 0.7279 | val loss 0.9786 acc 0.6606 macroF1 0.6602 | 1.7s  *best*
2026-09-22 21:09:26 | INFO | epoch  21 | lr 7.68e-04 | train loss 0.7425 acc 0.7350 | val loss 0.9598 acc 0.6666 macroF1 0.6655 | 1.6s  *best*
2026-09-22 21:09:27 | INFO | epoch  22 | lr 7.45e-04 | train loss 0.7197 acc 0.7449 | val loss 0.9727 acc 0.6664 macroF1 0.6677 | 1.6s  *best*
2026-09-22 21:09:29 | INFO | epoch  23 | lr 7.21e-04 | train loss 0.7016 acc 0.7518 | val loss 0.9633 acc 0.6752 macroF1 0.6757 | 1.6s  *best*
2026-09-22 21:09:31 | INFO | epoch  24 | lr 6.97e-04 | train loss 0.6786 acc 0.7601 | val loss 0.9627 acc 0.6796 macroF1 0.6800 | 1.7s  *best*
2026-09-22 21:09:33 | INFO | epoch  25 | lr 6.73e-04 | train loss 0.6540 acc 0.7692 | val loss 0.9620 acc 0.6766 macroF1 0.6778 | 1.7s
2026-09-22 21:09:35 | INFO | epoch  26 | lr 6.48e-04 | train loss 0.6319 acc 0.7772 | val loss 0.9823 acc 0.6758 macroF1 0.6771 | 1.7s
2026-09-22 21:09:36 | INFO | epoch  27 | lr 6.22e-04 | train loss 0.6127 acc 0.7849 | val loss 0.9905 acc 0.6740 macroF1 0.6733 | 1.7s
2026-09-22 21:09:38 | INFO | epoch  28 | lr 5.97e-04 | train loss 0.5944 acc 0.7922 | val loss 0.9800 acc 0.6786 macroF1 0.6785 | 1.7s
2026-09-22 21:09:40 | INFO | epoch  29 | lr 5.71e-04 | train loss 0.5745 acc 0.7985 | val loss 0.9988 acc 0.6776 macroF1 0.6781 | 1.6s
2026-09-22 21:09:42 | INFO | epoch  30 | lr 5.44e-04 | train loss 0.5570 acc 0.8033 | val loss 0.9864 acc 0.6804 macroF1 0.6801 | 1.7s  *best*
2026-09-22 21:09:43 | INFO | epoch  31 | lr 5.18e-04 | train loss 0.5420 acc 0.8089 | val loss 1.0026 acc 0.6820 macroF1 0.6810 | 1.6s  *best*
2026-09-22 21:09:45 | INFO | epoch  32 | lr 4.92e-04 | train loss 0.5294 acc 0.8125 | val loss 1.0080 acc 0.6780 macroF1 0.6792 | 1.6s
2026-09-22 21:09:47 | INFO | epoch  33 | lr 4.66e-04 | train loss 0.4970 acc 0.8261 | val loss 1.0172 acc 0.6800 macroF1 0.6808 | 1.7s
2026-09-22 21:09:49 | INFO | epoch  34 | lr 4.39e-04 | train loss 0.4895 acc 0.8282 | val loss 1.0085 acc 0.6832 macroF1 0.6828 | 1.7s  *best*
2026-09-22 21:09:50 | INFO | epoch  35 | lr 4.13e-04 | train loss 0.4697 acc 0.8351 | val loss 1.0352 acc 0.6830 macroF1 0.6825 | 1.6s
2026-09-22 21:09:52 | INFO | epoch  36 | lr 3.88e-04 | train loss 0.4557 acc 0.8402 | val loss 1.0451 acc 0.6812 macroF1 0.6808 | 1.7s
2026-09-22 21:09:54 | INFO | epoch  37 | lr 3.62e-04 | train loss 0.4425 acc 0.8453 | val loss 1.0414 acc 0.6846 macroF1 0.6842 | 1.8s  *best*
2026-09-22 21:09:56 | INFO | epoch  38 | lr 3.37e-04 | train loss 0.4314 acc 0.8488 | val loss 1.0513 acc 0.6850 macroF1 0.6856 | 1.7s  *best*
2026-09-22 21:09:58 | INFO | epoch  39 | lr 3.13e-04 | train loss 0.4125 acc 0.8562 | val loss 1.0724 acc 0.6918 macroF1 0.6912 | 1.7s  *best*
2026-09-22 21:09:59 | INFO | epoch  40 | lr 2.89e-04 | train loss 0.4035 acc 0.8590 | val loss 1.0621 acc 0.6906 macroF1 0.6907 | 1.7s
2026-09-22 21:10:01 | INFO | epoch  41 | lr 2.65e-04 | train loss 0.3834 acc 0.8655 | val loss 1.0982 acc 0.6910 macroF1 0.6912 | 1.6s  *best*
2026-09-22 21:10:03 | INFO | epoch  42 | lr 2.42e-04 | train loss 0.3776 acc 0.8690 | val loss 1.0895 acc 0.6910 macroF1 0.6913 | 1.7s  *best*
2026-09-22 21:10:05 | INFO | epoch  43 | lr 2.20e-04 | train loss 0.3621 acc 0.8752 | val loss 1.1016 acc 0.6946 macroF1 0.6940 | 1.9s  *best*
2026-09-22 21:10:07 | INFO | epoch  44 | lr 1.99e-04 | train loss 0.3505 acc 0.8791 | val loss 1.1182 acc 0.6936 macroF1 0.6942 | 1.8s  *best*
2026-09-22 21:10:09 | INFO | epoch  45 | lr 1.79e-04 | train loss 0.3448 acc 0.8808 | val loss 1.1264 acc 0.6876 macroF1 0.6876 | 1.7s
2026-09-22 21:10:10 | INFO | epoch  46 | lr 1.60e-04 | train loss 0.3364 acc 0.8831 | val loss 1.1354 acc 0.6930 macroF1 0.6928 | 1.7s
2026-09-22 21:10:12 | INFO | epoch  47 | lr 1.41e-04 | train loss 0.3217 acc 0.8874 | val loss 1.1330 acc 0.6946 macroF1 0.6948 | 1.7s  *best*
2026-09-22 21:10:14 | INFO | epoch  48 | lr 1.24e-04 | train loss 0.3109 acc 0.8929 | val loss 1.1527 acc 0.6906 macroF1 0.6909 | 1.7s
