epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,epoch_train_time_s,epoch_val_time_s
1,2.375296912114014e-06,1.171329338448631,0.5851209916864608,0.7579674642880757,0.7335,0.7313995711303012,3.0803340190004747,0.1156331219999629
2,0.001,0.8325572268696693,0.708562203087886,0.7081030201911926,0.7491666666666666,0.7364383527902889,0.8655352469995705,0.05324389199995494
3,0.000998394867526434,0.8163638542496959,0.7131643408551069,0.6991630434989929,0.7536666666666667,0.750900142835307,0.8397269969991612,0.0531509990005361
4,0.0009935898800057668,0.802011880200719,0.7201788895486936,0.6950866285959879,0.757,0.7530097852177633,0.849496597000325,0.05169268000008742
5,0.0009856161996258958,0.7998145398221503,0.7223315023752969,0.6794666233062744,0.7626666666666667,0.7573915598816996,0.8261485510001876,0.055150993000097515
6,0.000974525538763837,0.7971343893619728,0.7189355700712589,0.6933255333900452,0.7596666666666667,0.7526222808281233,0.8648187400003735,0.05220128599921736
7,0.000960389824611118,0.7979787404067159,0.7219974762470309,0.6963847419420878,0.7595,0.7540479628208943,0.8978817810002511,0.05652943499990215
8,0.0009433007326983388,0.7954294572533451,0.7214222090261283,0.6810030074119567,0.7696666666666667,0.7687229081985993,0.8508378769993215,0.05714432699915051
9,0.0009233690923441785,0.7952521626003565,0.7251336104513064,0.6834480752944946,0.7581666666666667,0.7540165527529465,0.9252251219995742,0.05231326499961142
10,0.0009007241678847331,0.7953070911828809,0.7213479809976246,0.6732140426635742,0.7663333333333333,0.7616469071656131,0.9741935870006273,0.053221991999635065
11,0.000875512820344695,0.7959440051801414,0.724521229216152,0.681670929590861,0.7625,0.7573712231343068,0.9047235079997336,0.05411668099986855
12,0.0008478985549872517,0.7883316861762004,0.7262655878859857,0.6685842299461364,0.77,0.7664376300006102,0.8555084720001105,0.05280501600009302
13,0.0008180604609197118,0.7869221375560534,0.7271192102137767,0.689033771832784,0.763,0.7634649301698666,0.9323897679996662,0.0526782920005644
14,0.0007861920496319221,0.7886143411706575,0.7238531769596199,0.6713217500050863,0.7696666666666667,0.7651087688251564,0.8890199390007183,0.052463807000094675
15,0.0007524999999999999,0.7865204249736533,0.7292347090261283,0.6775900910695394,0.7665,0.766630475338071,0.91388388499945,0.05158262600070884
16,0.0007172028178945118,0.7794405311133686,0.7315728919239906,0.662754016717275,0.7691666666666667,0.7637191495926515,0.8692319009996936,0.053819380000277306
17,0.0006805294190860552,0.7774054766267608,0.7291604809976246,0.6691562561988831,0.7713333333333333,0.7693645310447766,0.8928993810004613,0.054072723999524896
18,0.0006427176446386441,0.7811329640855132,0.7293646080760094,0.6777329343159993,0.7671666666666667,0.7624541577995417,0.9105119599998943,0.056169417000091926
19,0.0006040127184191421,0.7797164415803488,0.7284738717339667,0.6777588597933452,0.7713333333333333,0.7664154554228327,0.9452088269999877,0.05602975200054061
20,0.000564665656726385,0.7777327486001964,0.7308491686460807,0.6669185492197672,0.7696666666666667,0.7677444114841423,0.9108860300002561,0.06950205700013612
21,0.0005249316403541605,0.7745620042014858,0.7302553444180523,0.6749402618408203,0.7733333333333333,0.7719895436891036,0.858773912000288,0.057430293999459536
22,0.00048506835964583965,0.7755682988008241,0.7307007125890737,0.6667111474672953,0.7743333333333333,0.7706946242098257,0.8955595540001013,0.05732399000044097
23,0.0004453343432736152,0.7801540674478028,0.7328347684085511,0.6610080041885376,0.7723333333333333,0.768346020865596,0.8392547749999721,0.054815092000353616
24,0.0004059872815808581,0.7735958056891615,0.7319811460807601,0.6646033794085184,0.7768333333333334,0.7742188975505017,0.859525697999743,0.05527559599977394
25,0.000367282355361356,0.7763664607763857,0.7317399049881235,0.6673590512275696,0.7716666666666666,0.771634346821492,0.9120144759999675,0.05501279899999645
26,0.0003294705809139448,0.7744919407112865,0.7317770190023754,0.6643117709159851,0.7738333333333334,0.768788839767643,0.9516641660002279,0.05568232599944167
27,0.0002927971821054881,0.7756765666030648,0.7321110451306413,0.6611251459121704,0.7745,0.7722789388087288,0.9243503050001891,0.0557062190000579
28,0.00025750000000000013,0.7692227452781025,0.7338554038004751,0.6626474709510803,0.773,0.7710768054379905,0.8757223980001072,0.058205088000249816
29,0.00022380795036807793,0.767949439850669,0.7344677850356295,0.6608516149520874,0.7743333333333333,0.7706841084165612,0.9456340919996364,0.05749442700016516
30,0.0001919395390802883,0.7693348565180907,0.7326863123515439,0.6658442141215006,0.7741666666666667,0.7703234563303779,0.889185267999892,0.05548984500001097
31,0.00016210144501274833,0.7670765469589595,0.7352842933491687,0.6623504749933878,0.7768333333333334,0.7739399816088995,0.9074933150004654,0.053732065000076545
32,0.0001344871796553049,0.7643625240711022,0.7351915083135392,0.6637240044275919,0.7753333333333333,0.7730720056602103,0.9282158329997401,0.05384079799932806
33,0.00010927583211526702,0.7631698114854989,0.7360636876484561,0.6610691871643066,0.773,0.7707204788478399,0.8638993080003274,0.05422596500011423
34,8.663090765582167e-05,0.770529039115634,0.7327234263657957,0.6621202456156413,0.7768333333333334,0.7739549605511791,0.9115391539999109,0.052878083999530645
