2026-09-22 20:21:09 | INFO | Run fashion_mnist-gru_patches-s123-20260922-202109 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 20:21:09 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 20:21:09 | INFO | Dataset fashion_mnist | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/fashion_mnist_split42_val0.1.json | train/val/test = 54000/6000/10000 | fingerprints {'train': '2378c8b39f1d0606', 'val': 'c3422ec2263f2769'}
2026-09-22 20:21:09 | INFO | Model gru | trainable parameters: 156,426
2026-09-22 20:21:13 | INFO | epoch   1 | lr 2.38e-06 | train loss 1.4853 acc 0.4474 | val loss 0.7716 acc 0.7185 macroF1 0.7109 | 3.8s  *best*
2026-09-22 20:21:15 | INFO | epoch   2 | lr 1.00e-03 | train loss 0.6865 acc 0.7456 | val loss 0.5792 acc 0.7898 macroF1 0.7880 | 1.2s  *best*
2026-09-22 20:21:16 | INFO | epoch   3 | lr 9.98e-04 | train loss 0.5546 acc 0.7962 | val loss 0.4772 acc 0.8208 macroF1 0.8167 | 1.3s  *best*
2026-09-22 20:21:17 | INFO | epoch   4 | lr 9.94e-04 | train loss 0.4947 acc 0.8170 | val loss 0.4253 acc 0.8440 macroF1 0.8423 | 1.2s  *best*
2026-09-22 20:21:19 | INFO | epoch   5 | lr 9.86e-04 | train loss 0.4580 acc 0.8310 | val loss 0.3971 acc 0.8535 macroF1 0.8508 | 1.3s  *best*
2026-09-22 20:21:20 | INFO | epoch   6 | lr 9.75e-04 | train loss 0.4324 acc 0.8389 | val loss 0.3951 acc 0.8522 macroF1 0.8504 | 1.2s
2026-09-22 20:21:21 | INFO | epoch   7 | lr 9.60e-04 | train loss 0.4116 acc 0.8470 | val loss 0.3758 acc 0.8592 macroF1 0.8561 | 1.2s  *best*
2026-09-22 20:21:23 | INFO | epoch   8 | lr 9.43e-04 | train loss 0.3966 acc 0.8527 | val loss 0.3712 acc 0.8600 macroF1 0.8594 | 1.3s  *best*
2026-09-22 20:21:24 | INFO | epoch   9 | lr 9.23e-04 | train loss 0.3835 acc 0.8575 | val loss 0.3610 acc 0.8645 macroF1 0.8636 | 1.4s  *best*
2026-09-22 20:21:25 | INFO | epoch  10 | lr 9.01e-04 | train loss 0.3727 acc 0.8612 | val loss 0.3430 acc 0.8748 macroF1 0.8738 | 1.2s  *best*
2026-09-22 20:21:27 | INFO | epoch  11 | lr 8.76e-04 | train loss 0.3632 acc 0.8638 | val loss 0.3316 acc 0.8770 macroF1 0.8763 | 1.2s  *best*
2026-09-22 20:21:28 | INFO | epoch  12 | lr 8.48e-04 | train loss 0.3509 acc 0.8691 | val loss 0.3265 acc 0.8802 macroF1 0.8791 | 1.2s  *best*
2026-09-22 20:21:29 | INFO | epoch  13 | lr 8.18e-04 | train loss 0.3427 acc 0.8717 | val loss 0.3173 acc 0.8827 macroF1 0.8824 | 1.2s  *best*
2026-09-22 20:21:31 | INFO | epoch  14 | lr 7.86e-04 | train loss 0.3359 acc 0.8748 | val loss 0.3275 acc 0.8768 macroF1 0.8781 | 1.2s
2026-09-22 20:21:32 | INFO | epoch  15 | lr 7.52e-04 | train loss 0.3311 acc 0.8759 | val loss 0.3130 acc 0.8822 macroF1 0.8828 | 1.2s  *best*
2026-09-22 20:21:33 | INFO | epoch  16 | lr 7.17e-04 | train loss 0.3181 acc 0.8809 | val loss 0.2980 acc 0.8890 macroF1 0.8890 | 1.2s  *best*
2026-09-22 20:21:34 | INFO | epoch  17 | lr 6.81e-04 | train loss 0.3144 acc 0.8821 | val loss 0.2994 acc 0.8907 macroF1 0.8906 | 1.2s  *best*
2026-09-22 20:21:36 | INFO | epoch  18 | lr 6.43e-04 | train loss 0.3097 acc 0.8843 | val loss 0.2986 acc 0.8890 macroF1 0.8889 | 1.2s
2026-09-22 20:21:37 | INFO | epoch  19 | lr 6.04e-04 | train loss 0.3053 acc 0.8859 | val loss 0.2862 acc 0.8945 macroF1 0.8942 | 1.2s  *best*
2026-09-22 20:21:38 | INFO | epoch  20 | lr 5.65e-04 | train loss 0.2979 acc 0.8895 | val loss 0.2865 acc 0.8953 macroF1 0.8956 | 1.2s  *best*
2026-09-22 20:21:39 | INFO | epoch  21 | lr 5.25e-04 | train loss 0.2930 acc 0.8903 | val loss 0.2838 acc 0.8930 macroF1 0.8931 | 1.3s
2026-09-22 20:21:41 | INFO | epoch  22 | lr 4.85e-04 | train loss 0.2913 acc 0.8906 | val loss 0.2846 acc 0.8942 macroF1 0.8940 | 1.2s
2026-09-22 20:21:42 | INFO | epoch  23 | lr 4.45e-04 | train loss 0.2828 acc 0.8933 | val loss 0.2693 acc 0.9008 macroF1 0.9007 | 1.3s  *best*
2026-09-22 20:21:44 | INFO | epoch  24 | lr 4.06e-04 | train loss 0.2798 acc 0.8960 | val loss 0.2679 acc 0.9028 macroF1 0.9025 | 1.4s  *best*
2026-09-22 20:21:45 | INFO | epoch  25 | lr 3.67e-04 | train loss 0.2755 acc 0.8970 | val loss 0.2695 acc 0.8993 macroF1 0.8997 | 1.4s
2026-09-22 20:21:46 | INFO | epoch  26 | lr 3.29e-04 | train loss 0.2729 acc 0.8987 | val loss 0.2673 acc 0.9045 macroF1 0.9041 | 1.3s  *best*
2026-09-22 20:21:48 | INFO | epoch  27 | lr 2.93e-04 | train loss 0.2700 acc 0.8992 | val loss 0.2694 acc 0.8995 macroF1 0.8993 | 1.2s
