,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
linear,0.43619204666486217,0.42105225486611025,0.2600028365787106,0.2542328742134068,0.32035424141592556,0.3089764925287643,0.4442071632833097,0.41669009880705526,0.49324383053425863,0.42728986369724736
mlp,0.671759031952336,0.7312043032974244,0.480836238244285,0.43367317674458733,0.531361047416948,0.5252103572742456,0.6689920929670339,0.6835909941928485,0.7211137622249285,0.6617744109793914
cnn,0.9176652692351364,0.9586103225456389,0.8869052924177726,0.8212905780126355,0.9127359041308964,0.8651715515201607,0.9358639418331495,0.9390200764435205,0.9522112876817577,0.9433310528510557
lstm,0.7447592771526046,0.8138963708734535,0.5804339707289223,0.49404191712661794,0.613526957396422,0.5753194618722494,0.7296236457228975,0.7328162811548561,0.8311717270354277,0.7643575822841001
gru,0.7584744419328988,0.817727050509975,0.6136993458899843,0.5300326812532952,0.6517758284262206,0.5992507524161185,0.7650857106868069,0.7630573369259032,0.8419002603777965,0.7775402148544007
transformer,0.8170513815884667,0.8871408978884685,0.7468966150245645,0.6292369977182904,0.7590891600328996,0.7124723990223535,0.8394051835669057,0.8288569172559493,0.8815236794954612,0.8542152608068875
