2026-09-22 20:28:26 | INFO | Run fashion_mnist-transformer_no_pos-s123-20260922-202826 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 20:28:26 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 20:28:26 | INFO | Dataset fashion_mnist | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/fashion_mnist_split42_val0.1.json | train/val/test = 54000/6000/10000 | fingerprints {'train': '2378c8b39f1d0606', 'val': 'c3422ec2263f2769'}
2026-09-22 20:28:26 | INFO | Model transformer | trainable parameters: 302,026
2026-09-22 20:28:32 | INFO | epoch   1 | lr 7.92e-07 | train loss 1.6347 acc 0.3994 | val loss 1.2345 acc 0.5358 macroF1 0.5121 | 5.9s  *best*
2026-09-22 20:28:36 | INFO | epoch   2 | lr 3.34e-04 | train loss 1.1130 acc 0.5833 | val loss 1.1248 acc 0.5937 macroF1 0.5843 | 3.3s  *best*
2026-09-22 20:28:39 | INFO | epoch   3 | lr 6.67e-04 | train loss 1.0106 acc 0.6178 | val loss 1.0054 acc 0.6377 macroF1 0.6383 | 3.3s  *best*
2026-09-22 20:28:43 | INFO | epoch   4 | lr 1.00e-03 | train loss 0.9639 acc 0.6396 | val loss 0.9337 acc 0.6515 macroF1 0.6496 | 3.4s  *best*
2026-09-22 20:28:46 | INFO | epoch   5 | lr 9.98e-04 | train loss 0.9132 acc 0.6622 | val loss 0.8875 acc 0.6615 macroF1 0.6511 | 3.3s  *best*
2026-09-22 20:28:50 | INFO | epoch   6 | lr 9.93e-04 | train loss 0.8454 acc 0.6857 | val loss 0.8927 acc 0.6575 macroF1 0.6534 | 3.4s  *best*
2026-09-22 20:28:54 | INFO | epoch   7 | lr 9.84e-04 | train loss 0.8159 acc 0.6991 | val loss 0.8393 acc 0.6865 macroF1 0.6799 | 3.5s  *best*
2026-09-22 20:28:57 | INFO | epoch   8 | lr 9.72e-04 | train loss 0.7704 acc 0.7154 | val loss 0.7591 acc 0.7138 macroF1 0.7105 | 3.4s  *best*
2026-09-22 20:29:01 | INFO | epoch   9 | lr 9.56e-04 | train loss 0.7405 acc 0.7232 | val loss 0.7490 acc 0.7213 macroF1 0.7205 | 3.4s  *best*
2026-09-22 20:29:05 | INFO | epoch  10 | lr 9.37e-04 | train loss 0.7267 acc 0.7316 | val loss 0.7706 acc 0.7253 macroF1 0.7233 | 3.5s  *best*
2026-09-22 20:29:08 | INFO | epoch  11 | lr 9.15e-04 | train loss 0.6962 acc 0.7442 | val loss 0.7061 acc 0.7397 macroF1 0.7392 | 3.4s  *best*
2026-09-22 20:29:12 | INFO | epoch  12 | lr 8.90e-04 | train loss 0.6774 acc 0.7493 | val loss 0.6872 acc 0.7485 macroF1 0.7472 | 3.4s  *best*
2026-09-22 20:29:15 | INFO | epoch  13 | lr 8.62e-04 | train loss 0.6621 acc 0.7560 | val loss 0.6623 acc 0.7572 macroF1 0.7555 | 3.4s  *best*
2026-09-22 20:29:19 | INFO | epoch  14 | lr 8.32e-04 | train loss 0.6435 acc 0.7635 | val loss 0.6273 acc 0.7750 macroF1 0.7731 | 3.5s  *best*
2026-09-22 20:29:23 | INFO | epoch  15 | lr 7.99e-04 | train loss 0.6300 acc 0.7650 | val loss 0.6579 acc 0.7628 macroF1 0.7633 | 3.4s
2026-09-22 20:29:26 | INFO | epoch  16 | lr 7.65e-04 | train loss 0.6208 acc 0.7715 | val loss 0.6398 acc 0.7718 macroF1 0.7709 | 3.4s
