epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,epoch_train_time_s,epoch_val_time_s
1,2.8490028490028492e-06,1.653900544188301,0.38989049145299143,1.273857398223877,0.5186,0.5140821310850364,7.3004242469996825,0.35898116499993193
2,0.001,1.1732768835844818,0.5785701566951567,1.1157144273757935,0.6132,0.6193792856592075,4.949246371001209,0.2808381320010085
3,0.0009992984343599972,0.9807130706276309,0.6509748931623932,0.8286660167694092,0.7154,0.7107745413117572,4.885440463998748,0.29116658800012374
4,0.0009971957261040178,0.8553268867000895,0.7009437321937322,0.7185696362495423,0.7482,0.7472349576854196,4.798471780000909,0.2643223659997602
5,0.0009936978355870657,0.7649523279605768,0.7332398504273504,0.6290113750457764,0.7828,0.7824532938318891,4.618206921000819,0.2796263159998489
6,0.000988814677959844,0.6967492166407767,0.7620414886039886,0.5554376586914063,0.8098,0.8084625129688027,4.600302309998369,0.30978820900054416
7,0.0009825600950631853,0.6384113114274126,0.7807825854700855,0.6045750835418701,0.7928,0.7880342022807113,4.911925324000549,0.281196940000882
8,0.0009749518161918489,0.5931073400030109,0.7967414529914529,0.5307547137260437,0.819,0.8191651261022308,4.8841377059998194,0.2796439089997875
9,0.0009660114078389076,0.5495759393075252,0.81034099002849,0.48574775342941284,0.836,0.8375396089389252,4.837925317000554,0.2810201459997188
10,0.0009557642125631821,0.517242603831821,0.8224937678062678,0.4605434235572815,0.8476,0.846801167843837,4.823421855000561,0.27996641599929717
11,0.000944239277153003,0.48916406186557565,0.8337562321937322,0.42487079124450683,0.8524,0.8520249499702274,4.822626823000974,0.28197480699964217
12,0.000931469270289934,0.45747974548924003,0.8437722578347578,0.44449187588691713,0.8462,0.8460468458900697,4.8867739159995836,0.3046051620003709
13,0.0009174903899458449,0.43044381471950444,0.8525195868945868,0.38220479412078856,0.8684,0.8676949881063699,4.892630185999224,0.28104456400069466
14,0.0009023422607758269,0.41277490802470096,0.8585292022792023,0.3924064381122589,0.8662,0.8657889750851242,4.93424399200012,0.29156978799983335
15,0.0008860678217978036,0.39380429383696314,0.8643830128205128,0.3856878084659576,0.8708,0.87037950903194,4.7394242610007495,0.2663738329993066
16,0.0008687132046772182,0.37770218523139626,0.8710158475783476,0.44636890778541566,0.8568,0.855922140824324,4.539156429998911,0.2639614439995057
17,0.0008503276029618175,0.35975267056725985,0.8772035256410257,0.35580991554260255,0.8796,0.8796346110154595,4.488981958000295,0.26478920799854677
18,0.0008309631326371943,0.3392161438692669,0.8837695868945868,0.36381418800354004,0.8814,0.8806582283937147,4.60469739600012,0.27203461399949447
19,0.000810674684398365,0.3261734212395812,0.8876424501424501,0.34064005427360533,0.8894,0.8893297409606982,4.568269682999016,0.2642387959986081
20,0.0007895197680561314,0.31269262947587884,0.8915820868945868,0.34876639919281005,0.891,0.8914346783315329,4.732137446000706,0.2842583130004641
21,0.0007675583495192725,0.3013380829170558,0.8972133190883191,0.33716212458610534,0.8932,0.8934932663623393,5.041654427001049,0.2831466219995491
22,0.0007448526808146619,0.2957560758814852,0.8972355769230769,0.3259146880626678,0.8982,0.8981293598620969,5.019296125001347,0.302964370999689
23,0.0007214671236271335,0.2796032261899394,0.90275551994302,0.32633648905754087,0.8976,0.8966359398931047,4.893812344000253,0.28423316800035536
24,0.0006974679668592938,0.2680514815483677,0.9081641737891738,0.3258522903442383,0.8956,0.8954710494490243,4.851093387000219,0.2811409910009388
25,0.0006729232387284249,0.2606692201858572,0.9107683404558404,0.3374411907196045,0.8958,0.8957672578120807,4.831296746000589,0.2813275509997766
26,0.0006479025139331124,0.24167115056616628,0.9157763532763533,0.32332339792251585,0.8938,0.8935015079126893,4.939788228000907,0.28088664499955485
