epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,epoch_train_time_s,epoch_val_time_s
1,2.8490028490028492e-06,1.945620986471149,0.2743055555555556,1.6354608362197876,0.397,0.38538065665545673,4.182418755999606,0.14807405300052778
2,0.001,1.5640303558773465,0.42403400997151,1.3958062211990356,0.5,0.4936954911226986,1.5634425159987586,0.08680480499970145
3,0.0009992984343599972,1.3882736385378063,0.4956152065527066,1.2848517486572266,0.5414,0.5367086240081217,1.626307505001023,0.0881925699995918
4,0.0009971957261040178,1.2785870964370902,0.5363247863247863,1.2035098308563232,0.57,0.5653908131612483,1.4815776360010204,0.0839133800000127
5,0.0009936978355870657,1.1992096328667425,0.5677528490028491,1.1405152807235717,0.5878,0.5871909253965992,1.4876514370007499,0.08785392900063016
6,0.000988814677959844,1.141191852907849,0.5880297364672364,1.0815492153167725,0.6044,0.6029613250280164,1.6840396889983822,0.08719032000044535
7,0.0009825600950631853,1.0899383996286962,0.6125801282051282,1.0682649576187133,0.6178,0.6151405280731777,1.5608134440008143,0.08984236099968257
8,0.0009749518161918489,1.0451044866502115,0.6264022435897436,1.0442244161605836,0.6224,0.6168407713484358,1.4940652740006044,0.08754992699869035
9,0.0009660114078389076,1.0060350862663356,0.6400685541310541,1.017553883934021,0.6348,0.6305284612959137,1.4834390969990636,0.08476805099962803
10,0.0009557642125631821,0.9747200591272098,0.6509971509971509,0.9812070150375366,0.6502,0.6486905547622721,1.5668492479999259,0.08253850499932014
11,0.000944239277153003,0.9407258456588811,0.6669337606837606,0.9979267271041871,0.6426,0.6410176309057078,1.6144532910002454,0.08795326200015552
12,0.000931469270289934,0.9140399300474726,0.6740117521367521,0.9694579535484315,0.6524,0.651431272230722,1.4693811199995253,0.092737388000387
13,0.0009174903899458449,0.8912477051770246,0.6831152065527065,0.9667103338241577,0.6544,0.6518360332324382,1.5249070040008519,0.09714534200065827
14,0.0009023422607758269,0.8630984783851863,0.6945557336182336,0.9465639141082763,0.6628,0.6608399966199379,1.5484567799994693,0.08605703899957007
15,0.0008860678217978036,0.8418248521636355,0.7014556623931624,0.9522998110771179,0.6688,0.6678340138163337,1.4532353409995267,0.09604009299982863
16,0.0008687132046772182,0.8196411997164756,0.7066417378917379,0.9311674800872802,0.6682,0.6680378602771133,1.4818105429985735,0.08436942200023623
17,0.0008503276029618175,0.8014445675064695,0.7155671296296297,0.9349970051765442,0.676,0.6731579726201582,1.5031407320002472,0.08249494699884963
18,0.0008309631326371943,0.7756121117844541,0.7250712250712251,0.9205441650390624,0.6752,0.6748630828360858,1.4230276229991432,0.08256262199938647
19,0.000810674684398365,0.7619552393244882,0.7300792378917379,0.9219675456047058,0.6774,0.6747340909761511,1.4980127470007574,0.0857338300011179
20,0.0007895197680561314,0.7387353229386854,0.7385594729344729,0.9217551198005677,0.675,0.6726327615537019,1.4915782649986795,0.08718392300033884
21,0.0007675583495192725,0.7227964757854103,0.7427662037037037,0.915697406578064,0.6868,0.6846340686228767,1.5309637940008543,0.09155319999990752
22,0.0007448526808146619,0.7085235585004855,0.7483529202279202,0.8933217113494873,0.6866,0.6854283481335234,1.4950639979997504,0.08236248799948953
23,0.0007214671236271335,0.6881909042681724,0.7555867165242165,0.9108482809066772,0.6882,0.6864925678402207,1.500287331000436,0.09352764799950819
24,0.0006974679668592938,0.6691357498494988,0.7635995370370371,0.9295015075683594,0.6862,0.6854097466952531,1.4988988990007783,0.09234153400029754
25,0.0006729232387284249,0.6528280520031595,0.7676282051282052,0.9214108054161072,0.6892,0.6875309181838127,1.4765595509998093,0.09458118499969714
26,0.0006479025139331124,0.6453471337458347,0.7698317307692307,0.9295438170433045,0.6896,0.6880750801453213,1.4950019889984105,0.08828365900080826
27,0.000622476716436202,0.6240883951852804,0.7784900284900285,0.9148715257644653,0.693,0.693565159512483,1.55308690000129,0.09286858799896436
28,0.0005967179184231216,0.6081911136112322,0.7877938034188035,0.9458800664901733,0.6858,0.6831052724126352,1.5435866530006024,0.09623347500019008
29,0.0005706991360054424,0.5955010059042873,0.7907095797720798,0.925263703250885,0.6974,0.6973321266972002,1.5027451250007289,0.08566235799844435
30,0.0005444941222487762,0.5768871139257382,0.7965856481481481,0.934364262008667,0.6912,0.6905207954033481,1.4414979730008781,0.08438527999896905
31,0.0005181771581116985,0.5641951640786609,0.8011262464387464,0.9225212509155274,0.6912,0.6895445980655235,1.4137033329989208,0.08511839099992358
