2026-09-22 20:47:47 | INFO | Run cifar10-mlp-s123-20260922-204747 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 20:47:47 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 20:47:47 | INFO | Dataset cifar10 | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/cifar10_split42_val0.1.json | train/val/test = 45000/5000/10000 | fingerprints {'train': 'b99301bfd9655f1c', 'val': '280540fcdfde8a41'}
2026-09-22 20:47:47 | INFO | Model mlp | trainable parameters: 3,678,218
2026-09-22 20:47:51 | INFO | epoch   1 | lr 2.85e-06 | train loss 1.9007 acc 0.3100 | val loss 1.7160 acc 0.3786 macroF1 0.3699 | 3.7s  *best*
2026-09-22 20:47:52 | INFO | epoch   2 | lr 1.00e-03 | train loss 1.7150 acc 0.3789 | val loss 1.5562 acc 0.4394 macroF1 0.4279 | 1.0s  *best*
2026-09-22 20:47:54 | INFO | epoch   3 | lr 9.99e-04 | train loss 1.6347 acc 0.4079 | val loss 1.4946 acc 0.4558 macroF1 0.4404 | 1.1s  *best*
2026-09-22 20:47:55 | INFO | epoch   4 | lr 9.97e-04 | train loss 1.5913 acc 0.4251 | val loss 1.4630 acc 0.4698 macroF1 0.4474 | 1.0s  *best*
2026-09-22 20:47:56 | INFO | epoch   5 | lr 9.94e-04 | train loss 1.5645 acc 0.4361 | val loss 1.4139 acc 0.4922 macroF1 0.4869 | 1.1s  *best*
2026-09-22 20:47:57 | INFO | epoch   6 | lr 9.89e-04 | train loss 1.5333 acc 0.4462 | val loss 1.4026 acc 0.4956 macroF1 0.4913 | 1.2s  *best*
2026-09-22 20:47:58 | INFO | epoch   7 | lr 9.83e-04 | train loss 1.5125 acc 0.4515 | val loss 1.3957 acc 0.4984 macroF1 0.4913 | 1.0s
2026-09-22 20:47:59 | INFO | epoch   8 | lr 9.75e-04 | train loss 1.4907 acc 0.4606 | val loss 1.3683 acc 0.5068 macroF1 0.4979 | 1.0s  *best*
2026-09-22 20:48:01 | INFO | epoch   9 | lr 9.66e-04 | train loss 1.4757 acc 0.4683 | val loss 1.3462 acc 0.5184 macroF1 0.5126 | 1.1s  *best*
2026-09-22 20:48:02 | INFO | epoch  10 | lr 9.56e-04 | train loss 1.4610 acc 0.4743 | val loss 1.3340 acc 0.5148 macroF1 0.5067 | 1.1s
2026-09-22 20:48:03 | INFO | epoch  11 | lr 9.44e-04 | train loss 1.4437 acc 0.4816 | val loss 1.3081 acc 0.5242 macroF1 0.5168 | 1.0s  *best*
2026-09-22 20:48:04 | INFO | epoch  12 | lr 9.31e-04 | train loss 1.4245 acc 0.4884 | val loss 1.2930 acc 0.5352 macroF1 0.5294 | 1.0s  *best*
2026-09-22 20:48:05 | INFO | epoch  13 | lr 9.17e-04 | train loss 1.4208 acc 0.4868 | val loss 1.2903 acc 0.5410 macroF1 0.5347 | 1.1s  *best*
2026-09-22 20:48:06 | INFO | epoch  14 | lr 9.02e-04 | train loss 1.4041 acc 0.4936 | val loss 1.2670 acc 0.5474 macroF1 0.5427 | 1.1s  *best*
2026-09-22 20:48:08 | INFO | epoch  15 | lr 8.86e-04 | train loss 1.3919 acc 0.4999 | val loss 1.2626 acc 0.5482 macroF1 0.5418 | 1.1s
2026-09-22 20:48:09 | INFO | epoch  16 | lr 8.69e-04 | train loss 1.3855 acc 0.5032 | val loss 1.2636 acc 0.5480 macroF1 0.5396 | 1.1s
2026-09-22 20:48:10 | INFO | epoch  17 | lr 8.50e-04 | train loss 1.3720 acc 0.5059 | val loss 1.2465 acc 0.5574 macroF1 0.5551 | 1.1s  *best*
2026-09-22 20:48:11 | INFO | epoch  18 | lr 8.31e-04 | train loss 1.3664 acc 0.5088 | val loss 1.2315 acc 0.5612 macroF1 0.5552 | 1.1s  *best*
2026-09-22 20:48:12 | INFO | epoch  19 | lr 8.11e-04 | train loss 1.3555 acc 0.5116 | val loss 1.2301 acc 0.5650 macroF1 0.5621 | 1.1s  *best*
